User_ID,Title,Score,Genre
19.0,Time to Hunt,6.0,"Drama, Action, Thriller"
20.0,Lake Placid 3,1.0,"Horror, Action, Science Fiction, Thriller"
20.0,Suck Me Shakespeer,9.0,Comedy
20.0,Berserk: The Golden Age Arc II - The Battle for Doldrey,5.0,"Action, Adventure, Drama, Fantasy, Animation"
20.0,Wind Chill,3.0,"Drama, Horror, Thriller"
20.0,Never Back Down: No Surrender,10.0,"Drama, Action"
21.0,Dragon Ball Z: The History of Trunks,7.0,"Animation, Action, Science Fiction"
21.0,An Education,6.0,"Drama, Romance"
21.0,Otis,5.0,"Comedy, Horror"
21.0,Criminal,1.0,"Action, Crime, Science Fiction"
21.0,Species: The Awakening,10.0,"Horror, Science Fiction, Thriller"
22.0,Battle of the Year,5.0,"Music, Drama"
22.0,Daughter of the Wolf,7.0,"Action, Thriller"
22.0,21,6.0,"Drama, Crime"
22.0,G.I. Joe: Retaliation,0.0,"Science Fiction, Adventure, Action, Thriller"
22.0,Deadgirl,2.0,"Horror, Thriller"
23.0,Rocky II,0.0,Drama
23.0,Rocky Balboa,4.0,"Drama, Action"
23.0,Sex and the City 2,2.0,"Comedy, Drama, Romance"
23.0,The Final Destination,10.0,"Horror, Mystery"
23.0,Save the Last Dance 2,10.0,"Drama, Family, Romance"
24.0,Fast & Furious 10,3.0,"Action, Crime"
24.0,Mommy,8.0,Drama
24.0,Children of the Living Dead,8.0,"Horror, Thriller"
24.0,Primeval,3.0,"Adventure, Horror"
24.0,The Town that Dreaded Sundown,7.0,"Thriller, Horror"
25.0,Valiant,4.0,"Family, Animation, Adventure, Comedy, War"
25.0,The Heat,4.0,"Action, Comedy, Crime"
25.0,Fantastic Planet,0.0,"Animation, Science Fiction"
25.0,Once Upon a Time in China and America,6.0,"Action, Western"
25.0,Cheaper by the Dozen,6.0,"Comedy, Family"
26.0,Once Upon a Forest,0.0,"Animation, Family, Adventure"
26.0,Gold,5.0,"Thriller, Action"
26.0,Turbo Kid,0.0,"Action, Adventure, Comedy, Science Fiction"
26.0,My Neighbor Totoro,2.0,"Fantasy, Animation, Family"
26.0,Memories of My Father,6.0,Drama
27.0,Boogie Nights,4.0,Drama
27.0,Police Academy,8.0,"Comedy, Crime"
27.0,Blood-C: The Last Dark,6.0,"Action, Horror, Science Fiction, Animation"
27.0,Curious George: A Very Monkey Christmas,9.0,"Animation, Family, TV Movie"
27.0,Skins,4.0,"Drama, Comedy"
28.0,Gran Torino,10.0,Drama
28.0,Sex and the City 2,7.0,"Comedy, Drama, Romance"
28.0,Exam,4.0,"Thriller, Mystery"
28.0,Detective Conan: The Scarlet Bullet,4.0,"Animation, Action, Crime, Mystery, Romance, Thriller"
28.0,Star Trek II: The Wrath of Khan,9.0,"Action, Adventure, Science Fiction, Thriller"
29.0,King Kong Lives,2.0,"Fantasy, Action, Adventure"
29.0,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,5.0,"Animation, Comedy, Mystery, Family, Fantasy"
29.0,Victim of Desire,4.0,"Crime, Drama, Thriller"
29.0,Term Life,9.0,Thriller
29.0,Trauma Center,0.0,"Action, Thriller"
30.0,The Wild Thornberrys Movie,2.0,"Animation, Adventure, Family"
30.0,Nanny McPhee and the Big Bang,9.0,"Comedy, Fantasy, Family"
30.0,Free Willy 2: The Adventure Home,0.0,"Family, Adventure, Drama"
30.0,Prime,2.0,"Comedy, Drama, Romance"
30.0,The Lost Bladesman,9.0,"History, Drama, Action, War"
31.0,Stuart Little 3: Call of the Wild,9.0,"Fantasy, Animation, Comedy, Family"
31.0,Phobias,10.0,"Horror, Thriller"
31.0,Vixen: The Movie,2.0,"Action, Animation"
31.0,Monster High: Escape from Skull Shores,9.0,"Animation, Family, Fantasy"
31.0,Pizza Dare 1,3.0,Romance
32.0,Out of Death,4.0,"Crime, Action, Thriller"
32.0,Kung Fu Panda: Secrets of the Masters,2.0,"Animation, Action"
32.0,Hellboy II: The Golden Army,7.0,"Action, Adventure, Mystery, Fantasy"
32.0,Weaponized,9.0,"Thriller, Action, Science Fiction"
32.0,Pokémon: Mewtwo Returns,1.0,"Animation, Family, Action, Adventure, Drama, Fantasy"
33.0,Philomena,9.0,Drama
33.0,Ran,3.0,"Action, Drama, History"
33.0,DragonHeart,7.0,"Fantasy, Action, Adventure"
33.0,Kung Fu Yoga,9.0,"Comedy, Mystery, Action, Adventure"
33.0,Baggio: The Divine Ponytail,9.0,Drama
34.0,Suicide Squad,9.0,"Action, Adventure, Fantasy"
34.0,Beverly Hills Chihuahua,1.0,"Comedy, Family, Adventure, Romance"
34.0,Dead Man Down,8.0,"Thriller, Action, Crime, Drama"
34.0,In the Tall Grass,8.0,"Horror, Drama, Thriller"
34.0,The Bouncer,3.0,"Action, Drama, Thriller"
35.0,Tom and Jerry: The Magic Ring,0.0,"Family, Animation, Fantasy, Comedy, Action"
35.0,Combat Wombat,10.0,"Animation, Action, Comedy"
35.0,Naked Ambition 3D,2.0,Comedy
35.0,We're Back! A Dinosaur's Story,10.0,"Animation, Science Fiction, Family"
35.0,Extinction,5.0,"Action, Drama, Science Fiction, Thriller"
36.0,Pokémon: The Movie 2000,6.0,"Adventure, Fantasy, Animation, Science Fiction, Family"
36.0,Chasers,9.0,"Comedy, Romance"
36.0,The Vatican Tapes,8.0,"Thriller, Horror"
36.0,Moon,6.0,"Science Fiction, Drama"
36.0,The Many Saints of Newark,2.0,"Crime, Drama"
37.0,Love Hard,6.0,"Comedy, Romance"
37.0,Smurfs: The Lost Village,7.0,"Family, Adventure, Animation, Comedy"
37.0,Space Cowboys,7.0,"Action, Adventure, Thriller"
37.0,Scooby-Doo! Mask of the Blue Falcon,8.0,"Animation, Comedy, Fantasy, Adventure, Family"
37.0,Going Overboard,6.0,Comedy
38.0,The Brass Teapot,0.0,"Comedy, Fantasy, Thriller"
38.0,Latter Days,2.0,"Drama, Comedy, Romance"
38.0,Luca,1.0,"Animation, Comedy, Family, Fantasy"
38.0,Man of Steel,7.0,"Action, Adventure, Fantasy, Science Fiction"
38.0,Gridiron Gang,5.0,"Drama, Action, Crime"
39.0,A Cinderella Story: If the Shoe Fits,5.0,"Comedy, Family, Fantasy, Music"
39.0,Synchronic,3.0,"Science Fiction, Drama, Thriller, Horror"
39.0,Unsane,3.0,"Horror, Thriller"
39.0,"Girl, Interrupted",6.0,Drama
39.0,The Family Stone,8.0,"Comedy, Drama, Romance"
40.0,Cape Fear,4.0,"Drama, Thriller"
40.0,D.E.B.S.,5.0,"Action, Comedy, Romance"
40.0,Parasite,0.0,"Comedy, Thriller, Drama"
40.0,Chinese Zodiac,2.0,"Action, Adventure"
40.0,Hotel Rwanda,7.0,"Drama, History, War"
41.0,Emma.,4.0,"Comedy, Romance"
41.0,Batman: Gotham Knight,8.0,"Science Fiction, Animation, Action, Adventure"
41.0,Smokin' Aces,10.0,"Action, Comedy, Crime, Thriller"
41.0,Angel Has Fallen,9.0,"Action, Thriller"
41.0,American Ninja 2: The Confrontation,9.0,Action
42.0,Sully,2.0,"Drama, History"
42.0,Goldfinger,3.0,"Adventure, Action, Thriller"
42.0,Wild Tales,6.0,"Drama, Thriller, Comedy"
42.0,Leaving Las Vegas,6.0,"Drama, Romance"
42.0,Threads,5.0,"War, Drama, Science Fiction"
43.0,Brotherhood of the Wolf,4.0,"Adventure, Horror, Action, History"
43.0,Vanguard,5.0,"Action, Adventure, Crime"
43.0,Minnal Murali,1.0,"Action, Adventure, Comedy"
43.0,The Amazing Spider-Man 2,9.0,"Action, Adventure, Fantasy"
43.0,RED,1.0,"Action, Adventure, Comedy, Crime, Thriller"
44.0,Kabaneri of the Iron Fortress: The Battle of Unato,6.0,"Animation, Action, Fantasy, Adventure"
44.0,Racing Stripes,4.0,"Comedy, Family"
44.0,National Treasure,3.0,"Adventure, Action, Thriller, Mystery"
44.0,Pride and Prejudice and Zombies,0.0,"Romance, Horror, Comedy, Thriller"
44.0,Henry & June,7.0,Romance
45.0,Double Indemnity,6.0,"Crime, Drama, Mystery, Thriller"
45.0,Jane Got a Gun,0.0,"Western, Action, Drama"
45.0,Wayne's World 2,6.0,"Comedy, Music"
45.0,14 Peaks: Nothing Is Impossible,4.0,Documentary
45.0,The Intern,3.0,Comedy
46.0,Money Monster,4.0,"Thriller, Drama"
46.0,"Sex, Party and Lies",7.0,"Comedy, Drama"
46.0,Take the Lead,3.0,"Comedy, Music, Drama"
46.0,Leprechaun: Origins,10.0,Horror
46.0,Krull,9.0,"Action, Adventure, Fantasy, Science Fiction"
47.0,Rogue Hostage,7.0,"Action, Thriller"
47.0,The Parent Trap,10.0,"Comedy, Family"
47.0,Not Another Teen Movie,2.0,Comedy
47.0,Spirited Away,9.0,"Animation, Family, Fantasy"
47.0,The Transporter Refueled,7.0,"Action, Thriller, Crime"
48.0,Windstorm,2.0,"Adventure, Family"
48.0,Star Trek: Generations,5.0,"Science Fiction, Action, Adventure, Thriller"
48.0,Valhalla Rising,6.0,"Adventure, Drama, Action, Fantasy"
48.0,The Legend of Hei,8.0,"Animation, Fantasy, Action"
48.0,Knight and Day,4.0,"Action, Comedy"
49.0,Run All Night,5.0,"Action, Drama, Thriller, Crime"
49.0,Sleepaway Camp,8.0,Horror
49.0,Hop,5.0,"Animation, Comedy, Family"
49.0,Pacific Rim: Uprising,6.0,"Action, Fantasy, Science Fiction, Adventure"
49.0,The Awakening,8.0,"Horror, Thriller, Mystery"
50.0,Over the Hedge,2.0,"Family, Comedy, Animation"
50.0,The Messengers,6.0,"Mystery, Thriller, Horror"
50.0,K: Missing Kings,5.0,"Animation, Fantasy, Action"
50.0,Farewell My Concubine,7.0,Drama
50.0,Sex and Zen,5.0,"Drama, Adventure, Comedy, Romance"
51.0,Nurse 3-D,0.0,"Horror, Thriller"
51.0,Semper Fi,7.0,"Drama, Action"
51.0,Immortals,4.0,"Fantasy, Action, Drama"
51.0,Casshern,6.0,"Drama, Horror, Science Fiction"
51.0,King Cobra,5.0,"Crime, Drama"
52.0,The Hole in the Ground,5.0,Horror
52.0,Texas Killing Fields,5.0,"Drama, Thriller, Crime, Mystery"
52.0,Gloria Bell,9.0,"Drama, Romance"
52.0,The Last Starfighter,9.0,"Adventure, Science Fiction, Action"
52.0,Battleship Potemkin,1.0,"Drama, History"
53.0,Alien Outpost,4.0,"Thriller, Action, Science Fiction"
53.0,Pixie Hollow Bake Off,2.0,
53.0,Henry & June,8.0,Romance
53.0,The Notorious Bettie Page,4.0,"Comedy, Drama"
53.0,The Void,10.0,"Mystery, Horror, Science Fiction"
54.0,Spotlight,4.0,"Drama, History"
54.0,All About the Benjamins,1.0,"Action, Adventure, Comedy"
54.0,St. Vincent,5.0,Comedy
54.0,Hoodwinked Too! Hood VS. Evil,5.0,"Comedy, Animation, Family"
54.0,Big Fat Liar,6.0,"Family, Comedy, Adventure"
55.0,Starship Troopers 2: Hero of the Federation,3.0,"Adventure, Horror, Action, Science Fiction"
55.0,The Father Who Moves Mountains,10.0,"Drama, Thriller"
55.0,The New World,2.0,"Drama, History, Romance"
55.0,The Witch: Part 1. The Subversion,6.0,"Action, Mystery, Fantasy"
55.0,The First Time,7.0,"Drama, Comedy, Romance"
56.0,Fight Back to School,5.0,"Action, Comedy"
56.0,Dragons: Rescue Riders: Huttsgalor Holiday,7.0,"Animation, Family"
56.0,Analyze That,3.0,"Comedy, Crime"
56.0,Waves,6.0,"Romance, Drama"
56.0,Children Who Chase Lost Voices,0.0,"Animation, Adventure, Drama, Fantasy"
57.0,The Dinner,0.0,"Drama, Thriller, Mystery"
57.0,Fright Night,9.0,"Horror, Comedy"
57.0,Cowboys & Aliens,5.0,"Action, Science Fiction, Thriller, Western"
57.0,Pilgrimage,5.0,"Action, Adventure, Drama"
57.0,Aftermath,6.0,"Horror, Crime, Drama, Thriller"
58.0,A Few Good Men,9.0,Drama
58.0,Candyman,1.0,"Drama, Horror, Thriller"
58.0,Thor: The Dark World,0.0,"Action, Adventure, Fantasy"
58.0,Why Did You Kill Me?,1.0,"Documentary, Crime"
58.0,Talk Sex,5.0,"Romance, Drama"
59.0,"South Park: Bigger, Longer & Uncut",6.0,"Animation, Comedy"
59.0,Sinister,0.0,"Horror, Thriller, Mystery"
59.0,Flypaper,10.0,"Mystery, Comedy, Crime"
59.0,SeaFood,0.0,"Animation, Comedy, Family, Adventure"
59.0,Journey to the Center of the Earth,9.0,"Action, Science Fiction, Adventure, Comedy, Family"
60.0,The SpongeBob SquarePants Movie,10.0,"Family, Animation, Comedy, Fantasy"
60.0,The Omen,1.0,Horror
60.0,The Day of the Jackal,10.0,"Action, Thriller"
60.0,Funeral Parade of Roses,0.0,"Drama, Fantasy"
60.0,Videodrome,8.0,"Horror, Mystery, Science Fiction"
61.0,Happy Death Day 2U,1.0,"Comedy, Horror, Science Fiction"
61.0,Stuck on You,7.0,Comedy
61.0,Seal Team,4.0,"Animation, Family, Comedy"
61.0,The Queen,8.0,"Drama, History"
61.0,The Yin-Yang Master: Dream of Eternity,6.0,"Action, Drama, Fantasy, Mystery, Science Fiction"
62.0,Drake & Josh Go Hollywood,4.0,"TV Movie, Family, Comedy, Adventure, Crime, Drama, Music"
62.0,Grease 2,10.0,"Comedy, Family, Music, Romance"
62.0,Gifted,7.0,"Family, Drama, Comedy"
62.0,The Fly,8.0,"Horror, Science Fiction"
62.0,The Fear of God: 25 Years of The Exorcist,1.0,Documentary
63.0,Cashback,1.0,"Drama, Comedy"
63.0,Valerian and the City of a Thousand Planets,7.0,"Adventure, Science Fiction, Action"
63.0,North Country,6.0,Drama
63.0,How to Train Your Dragon,8.0,"Fantasy, Adventure, Animation, Family"
63.0,One Piece: Adventure of Nebulandia,6.0,"Action, Animation, Adventure, Comedy, Fantasy"
64.0,"Planes, Trains and Automobiles",5.0,Comedy
64.0,Mank,1.0,"Drama, History"
64.0,Kuch Kuch Hota Hai,3.0,"Drama, Romance"
64.0,Heavy Metal,9.0,"Animation, Science Fiction, Adventure, Fantasy, Music"
64.0,28 Weeks Later,1.0,"Horror, Thriller, Science Fiction"
65.0,A Fantastic Woman,9.0,Drama
65.0,The Fury,7.0,"Horror, Science Fiction, Thriller"
65.0,Tom and Jerry: The Magic Ring,0.0,"Family, Animation, Fantasy, Comedy, Action"
65.0,Balkan Line,3.0,"Drama, Action, War"
65.0,Jessabelle,2.0,"Thriller, Horror"
66.0,Father of the Bride,9.0,"Comedy, Romance"
66.0,The Zodiac,9.0,"Crime, Drama, Thriller"
66.0,House of the Witch,7.0,"Horror, TV Movie"
66.0,Furious,0.0,"Fantasy, Action, Adventure"
66.0,American Graffiti,3.0,"Comedy, Drama"
67.0,Multiplicity,5.0,"Comedy, Fantasy, Science Fiction"
67.0,IO,6.0,Science Fiction
67.0,Wheels on Meals,8.0,"Romance, Action, Comedy, Crime"
67.0,Felon,3.0,"Action, Crime, Drama, Mystery"
67.0,Sunset Boulevard,6.0,Drama
68.0,Morning Glory,10.0,"Comedy, Drama, Romance"
68.0,Say Anything...,3.0,"Romance, Comedy, Drama"
68.0,Bullitt,0.0,"Action, Crime, Drama, Thriller"
68.0,Captain Marvel,4.0,"Action, Adventure, Science Fiction"
68.0,Crash,7.0,"Drama, Thriller"
69.0,The Marine 5: Battleground,3.0,Action
69.0,Willow,4.0,"Action, Adventure, Fantasy"
69.0,Barry Lyndon,1.0,"Drama, Romance, War"
69.0,Inside Llewyn Davis,5.0,"Drama, Music"
69.0,Open Season: Scared Silly,1.0,"Animation, Comedy, Family, Adventure"
70.0,Mars Needs Moms,10.0,"Adventure, Animation, Family"
70.0,The Sandman,5.0,Horror
70.0,Gangubai Kathiawadi,9.0,"Crime, Drama"
70.0,The After Party,2.0,"Comedy, Music"
70.0,Paid in Full,6.0,"Action, Crime, Drama"
71.0,Greta,0.0,"Mystery, Thriller, Horror"
71.0,Hal,6.0,"Animation, Romance"
71.0,Allegiant,2.0,"Adventure, Science Fiction, Action, Mystery"
71.0,The Cell,6.0,"Horror, Science Fiction, Thriller"
71.0,The Legend of 1900,5.0,"Drama, Music, Romance"
72.0,Once Upon a Time in China,9.0,"Action, Drama"
72.0,GoldenEye,8.0,"Adventure, Action, Thriller"
72.0,Khumba,9.0,"Animation, Adventure, Family"
72.0,See You Up There,8.0,"Drama, Crime, War"
72.0,Hitman's Wife's Bodyguard,6.0,"Action, Comedy, Thriller"
73.0,Euphoria,10.0,Drama
73.0,Sexy Beast,4.0,"Crime, Drama, Thriller"
73.0,Cloudy with a Chance of Meatballs 2,10.0,"Animation, Family, Comedy"
73.0,"Twinkle, Twinkle, Lucky Stars",5.0,"Action, Comedy"
73.0,The House with a Clock in Its Walls,4.0,"Fantasy, Family, Comedy, Horror"
74.0,Mean Streets,9.0,"Drama, Crime"
74.0,A Very Murray Christmas,1.0,"Comedy, Music"
74.0,Sideshow,5.0,"Comedy, Crime"
74.0,The Spirit,3.0,"Action, Comedy, Thriller, Crime, Science Fiction"
74.0,Virus,4.0,"Horror, Action, Science Fiction"
75.0,Fired Up!,4.0,Comedy
75.0,The Naked Gun 2½: The Smell of Fear,3.0,"Comedy, Crime"
75.0,Scream Queen Hot Tub Party,0.0,Horror
75.0,Winx Club: The Mystery of the Abyss,5.0,"Family, Fantasy, Animation"
75.0,Reign of Fire,5.0,"Adventure, Action, Fantasy"
76.0,Elektra,9.0,"Action, Fantasy, Science Fiction"
76.0,We Have Always Lived in the Castle,7.0,"Drama, Mystery, Thriller"
76.0,Body Double,6.0,"Crime, Mystery, Thriller"
76.0,Phone Booth,8.0,"Crime, Mystery, Thriller"
76.0,Diego Maradona,9.0,Documentary
77.0,13 Sins,3.0,"Horror, Thriller"
77.0,A Man Called Ove,9.0,"Comedy, Drama"
77.0,Synchronic,3.0,"Science Fiction, Drama, Thriller, Horror"
77.0,"A Fairly Odd Movie: Grow Up, Timmy Turner!",5.0,"Family, Fantasy, TV Movie"
77.0,The Skeleton Key,4.0,"Drama, Horror, Mystery, Thriller"
78.0,Time of EVE: The Movie,2.0,"Animation, Science Fiction, Drama"
78.0,Clown,6.0,Horror
78.0,The Adventures of Sharkboy and Lavagirl,10.0,"Adventure, Family, Science Fiction"
78.0,22 Bullets,3.0,"Drama, Crime, Thriller"
78.0,Pokémon the Movie: The Power of Us,5.0,"Animation, Family, Adventure, Fantasy"
79.0,Steins;Gate: The Movie − Load Region of Déjà Vu,8.0,"Science Fiction, Animation, Drama"
79.0,The Unholy,6.0,Horror
79.0,All Saints,3.0,"Drama, Comedy"
79.0,The Porno Killers,10.0,"Crime, Action"
79.0,The Grey,3.0,"Drama, Thriller, Action, Adventure"
80.0,The Intruder,7.0,Thriller
80.0,Get Shorty,1.0,"Comedy, Thriller, Crime"
80.0,Air Strike,5.0,"Drama, War, Action, Adventure"
80.0,A Christmas Prince: The Royal Baby,7.0,"Romance, Family"
80.0,Now You See Me 2,9.0,"Thriller, Action, Comedy"
81.0,"My Love, My Bride",4.0,"Comedy, Romance"
81.0,The Battleship Island,7.0,"Action, History, Drama"
81.0,Burnout,8.0,"Action, Comedy"
81.0,Windstorm,1.0,"Adventure, Family"
81.0,Shark Beach With Chris Hemsworth,8.0,Documentary
82.0,Enemy of the State,0.0,"Action, Drama, Thriller"
82.0,Layer Cake,3.0,"Drama, Thriller, Crime"
82.0,DuckTales: The Movie - Treasure of the Lost Lamp,9.0,"Adventure, Animation, Family, Comedy, Fantasy"
82.0,Stardust,10.0,"Adventure, Fantasy, Romance, Family"
82.0,Child's Play 3,6.0,"Horror, Thriller"
83.0,The Mummy Returns,2.0,"Adventure, Action, Fantasy"
83.0,A Classic Horror Story,8.0,"Drama, Horror, Mystery, Comedy"
83.0,Dawn of the Dead,7.0,"Action, Horror"
83.0,Wuthering Heights,7.0,"Drama, Romance"
83.0,LOL,4.0,"Drama, Comedy, Romance"
84.0,The Prodigy,6.0,"Horror, Thriller"
84.0,The Three Caballeros,0.0,"Animation, Family, Music"
84.0,Warriors of the Rainbow: Seediq Bale - Part 2: The Rainbow Bridge,7.0,"Action, Drama, History"
84.0,Serenity,8.0,"Thriller, Mystery, Drama"
84.0,The Front Runner,9.0,"Drama, History"
85.0,Rings,9.0,Horror
85.0,A Thousand Words,5.0,"Drama, Comedy"
85.0,Touch of Evil,1.0,"Crime, Thriller"
85.0,"Easy Sex, Sad Movies",7.0,Comedy
85.0,A Lonely Place to Die,0.0,"Adventure, Action, Thriller, Crime"
86.0,Pet Sematary,9.0,Horror
86.0,"Paw Patrol: Ready, Race, Rescue!",4.0,"Animation, Family"
86.0,Enter the Void,8.0,"Fantasy, Drama"
86.0,Memories of My Father,10.0,Drama
86.0,Anon,8.0,Science Fiction
87.0,Halloween Kills,1.0,"Horror, Thriller"
87.0,Kung Fu Yoga,10.0,"Comedy, Mystery, Action, Adventure"
87.0,Parasite,9.0,"Comedy, Thriller, Drama"
87.0,Big Fat Liar,7.0,"Family, Comedy, Adventure"
87.0,Marmaduke,0.0,"Family, Comedy"
88.0,Modern Times,8.0,"Comedy, Drama"
88.0,Minions,4.0,"Family, Animation, Adventure, Comedy"
88.0,Toy Story,4.0,"Animation, Adventure, Family, Comedy"
88.0,The Last Legion,8.0,"Action, Adventure, Fantasy, War"
88.0,One Crazy Summer: A Look Back at Gravity Falls,10.0,Documentary
89.0,The Wizard of Lies,2.0,"Crime, Drama, History, Thriller, TV Movie"
89.0,The Parent Trap,0.0,"Comedy, Family"
89.0,Speak,10.0,Drama
89.0,The Seventh Day,6.0,Horror
89.0,A Common Man,6.0,"Action, Thriller"
90.0,Home Again,6.0,"Comedy, Drama, Romance"
90.0,The Berlin File,9.0,"Action, Thriller"
90.0,Another,3.0,"Horror, Thriller, Mystery"
90.0,A Prayer Before Dawn,9.0,"Drama, Action, Crime"
